,property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum,bed_bath_ratio,log_area,society_clean,additional_room_count,log_price
2267,3 BHK Flat,Emaar MGF The Palm Drive41 ,3,4,3+,Servant Room,South-East,mid-age,Sector 66 Gurgaon,3.98,2420.0,16446.280991735537,0,0,0,0,0,1,2,53.0,Fancy,33.5,Premium,24.0,0.75,7.791935956938058,emaar mgf the palm drive,1,1.6054298910365616
2268,2 BHK Flat,Signature Global Park40 ,2,2,3,unavailable,East,newly built,Sohna,0.55,1064.2857142857144,5167.785234899328,0,0,0,0,0,1,4,28.0,Medium,21.0,Good,25.0,1.0,6.970998318488482,signature global park,0,0.4382549309311553
2269,2 BHK Flat,Godrej 10140 ,2,2,3,Study Room,North-East,newly built,Sector 79 Gurgaon,1.47,120.0,122500.0,0,0,1,0,0,0,9,-1.0,Unavailable,24.5,Good,24.5,1.0,4.795790545596741,godrej ,1,0.9042181506398859
2270,2 BHK Flat,Lotus Homz40 ,2,2,2,unavailable,East,new,Sector 111 Gurgaon,0.7,994.2857142857144,7040.229885057471,0,0,1,0,0,0,8,30.0,Fancy,17.5,Basic,24.5,1.0,6.903029845974806,lotus homz,0,0.5306282510621704
2271,2 BHK Flat,Breez Global Hill View,2,2,2,unavailable,unavailable,newly built,Sohna,2.6,791.4285714285714,32851.98555956678,0,0,1,0,0,0,6,-1.0,Unavailable,11.5,Basic,20.0,1.0,6.675102370999921,breez global hill view,0,1.2809338454620642
2272,2 BHK Flat,Smart World Gems,2,2,2,Store Room,unavailable,under construction,Sector 89 Gurgaon,1.1,1575.7142857142858,6980.961015412511,0,0,0,0,0,1,3,-1.0,Unavailable,17.5,Basic,20.0,1.0,7.3630983947175705,smart world gems,1,0.7419373447293773
2273,2 BHK Flat,Krisumi Waterfall Residences,2,2,2,unavailable,North,under construction,Sector 36A Gurgaon,2.2,1626.9,13522.65043948614,0,0,0,0,0,1,23,32.0,Fancy,5.0,Minimal,0.0,1.0,7.395046119614464,krisumi waterfall residences,0,1.1631508098056809
2274,3 BHK Flat,ROF Ananda,3,2,2,Study Room,East,newly built,Sector 95 Gurgaon,0.55,1428.571428571429,3850.0,0,0,0,0,0,1,14,31.5,Fancy,8.0,Minimal,19.0,1.5,7.265129978035143,rof ananda,1,0.4382549309311553
2275,3 BHK Flat,ROF Ananda,3,2,2,Study Room,East,newly built,Sector 95 Gurgaon,0.55,1428.571428571429,3850.0,0,0,0,0,0,1,14,32.5,Fancy,17.5,Basic,19.0,1.5,7.265129978035143,rof ananda,1,0.4382549309311553
2276,3 BHK Flat,Smart World Gems,3,3,2,Study Room,South-East,under construction,Sector 89 Gurgaon,1.16,2032.857142857143,5706.2543921293045,0,0,1,0,1,0,3,-1.0,Unavailable,18.5,Basic,20.0,1.0,7.617689339558432,smart world gems,1,0.7701082216960736
2277,2 BHK Flat,Pareena Mi Casa,2,2,3,unavailable,East,newly built,Sector 68 Gurgaon,1.1,1778.571428571429,6184.738955823293,0,0,0,0,0,1,13,-1.0,Unavailable,28.0,Good,20.0,1.0,7.4841278438307794,pareena mi casa,0,0.7419373447293773
2278,2 BHK Flat,Godrej Nature Plus,2,2,No,unavailable,unavailable,under construction,Sector-33 Sohna,1.2,108.57142857142858,110526.31578947368,0,0,1,0,0,0,11,-1.0,Unavailable,0.0,Minimal,0.0,1.0,4.696576652311943,godrej nature plus,0,0.7884573603642702
2279,4 BHK Flat,Antriksh Green,4,4,2,Servant Room,North,old,Sector 45 Gurgaon,2.25,4107.142857142858,5478.260869565216,1,0,0,0,0,0,9,53.0,Fancy,7.0,Minimal,20.0,1.0,8.320726345795032,antriksh green,1,1.1786549963416462
2280,3 BHK Flat,Whiteland The Aspen,3,4,3+,Servant Room,North-East,under construction,Sector 76 Gurgaon,3.35,2714.2857142857147,12342.105263157891,0,0,0,1,0,0,5,38.0,Fancy,36.0,Premium,0.0,0.75,7.906652462295525,whiteland the aspen,1,1.4701758451005926
2281,3 BHK Flat,Bestech Altura,3,4,3+,Servant Room,unavailable,newly built,Sector 79 Gurgaon,2.69,2365.0,11374.207188160675,0,0,0,0,0,1,3,34.0,Fancy,13.5,Basic,20.0,0.75,7.768956044538332,bestech altura,1,1.3056264580524357
2282,2 BHK Flat,Ansal Height 86,2,2,No,unavailable,unavailable,unknown,Sector 86 Gurgaon,0.8,1496.0000000000002,5347.5935828877,0,0,0,0,1,0,1,28.0,Medium,0.0,Minimal,19.0,1.0,7.311218384419629,ansal height ,0,0.5877866649021191
2283,2 BHK Flat,Ramsons Kshitij,2,2,No,unavailable,unavailable,unknown,Sector 95 Gurgaon,0.35,700.7,4995.004995004994,0,0,0,0,0,1,5,-1.0,Unavailable,0.0,Minimal,19.0,1.0,6.553505962258243,ramsons kshitij,0,0.3001045924503381
2284,2 BHK Flat,Vipul Lavanya39 ,2,2,1,unavailable,unavailable,under construction,Sector 81 Gurgaon,0.6,990.0,6060.60606060606,0,0,0,0,0,1,0,-1.0,Unavailable,0.0,Minimal,24.0,1.0,6.898714534329988,vipul lavanya,0,0.4700036292457356
2285,2 BHK Flat,Breez Global Heights42 ,2,2,2,unavailable,East,new,Sohna,0.46,1014.2857142857144,4535.211267605634,0,0,1,0,0,0,6,37.5,Fancy,13.5,Basic,25.0,1.0,6.922925343771582,breez global heights,0,0.3784364357202451
2286,3 BHK Flat,Conscient Heritage Max43 ,3,4,3+,"Study Room,Servant Room",North-East,newly built,Sector 102 Gurgaon,2.5,2363.9,10575.743474766276,0,0,1,0,0,0,25,40.0,Fancy,13.5,Basic,24.5,0.75,7.7684910167339725,conscient heritage max,2,1.252762968495368
2287,2 BHK Flat,Vipul Lavanya39 ,2,2,1,unavailable,East,new,Sector 81 Gurgaon,0.6,1285.7142857142858,4666.666666666666,1,0,1,0,0,0,0,34.0,Fancy,13.5,Basic,24.0,1.0,7.15984718272843,vipul lavanya,0,0.4700036292457356
2288,2 BHK Flat,Pareena Mi Casa,2,2,2,Servant Room,unavailable,newly built,Sector 68 Gurgaon,1.0,1750.0,5714.285714285715,0,0,0,0,0,1,16,-1.0,Unavailable,18.0,Basic,20.0,1.0,7.467942332285852,pareena mi casa,1,0.6931471805599453
2289,2 BHK Flat,Ashiana Anmol,2,2,2,Others,unavailable,under construction,Sohna,0.93,1821.428571428572,5105.882352941176,1,0,0,0,0,0,9,-1.0,Unavailable,12.0,Basic,20.0,1.0,7.507925270482977,ashiana anmol,1,0.6575200029167941
2290,3 BHK Flat,Smart World Orchard,3,3,3,Store Room,unavailable,under construction,Sector 61 Gurgaon,2.54,2342.857142857143,10841.463414634143,0,0,0,0,0,1,2,28.0,Medium,8.5,Minimal,0.0,1.0,7.7595532029595695,smart world orchard,1,1.264126727145683
