property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum
2 BHK Flat,Trisara Our Homes 3,2.0,2.0,1,unavailable,unavailable,newly built,Sohna,0.36,860.0,4186.046511627907,0,0,0,0,0,1,1.0,31.0,Fancy,13.0,Basic,20.0
1 BHK Flat,Kendriya Vihar,1.0,1.0,1,unavailable,unavailable,mid-age,Sector 56 Gurgaon,0.65,1078.5714285714287,6026.490066225165,0,0,0,0,0,1,0.0,-1.0,Unavailable,32.0,Premium,20.0
2 BHK Flat,Godrej Aria38 ,2.0,2.0,2,Study Room,unavailable,new,Sector 79 Gurgaon,1.3,1617.0000000000002,8039.579468150896,0,0,0,0,0,1,7.0,28.0,Medium,30.5,Premium,25.0
2 BHK Flat,Ansal Heights 86,2.0,2.0,1,unavailable,unavailable,new,Sector 86 Gurgaon,0.67,1496.0000000000002,4478.609625668449,0,0,0,0,0,1,10.0,-1.0,Unavailable,27.0,Good,19.0
1 BHK Flat,Breez Global Heights42 ,1.0,1.0,1,unavailable,unavailable,new,Sohna,0.25,591.4285714285714,4227.053140096618,1,0,1,0,0,0,1.0,-1.0,Unavailable,16.0,Basic,25.0
1 BHK Flat,Kendriya Vihar41 ,1.0,1.0,1,unavailable,unavailable,old,Sector 56 Gurgaon,0.58,864.2857142857143,6710.743801652892,0,0,1,0,0,0,1.0,31.0,Fancy,16.5,Basic,25.0
1 BHK Flat,om apartment Dayanand colony,1.0,1.0,1,unavailable,North-East,new,Sector 5 Gurgaon,0.26,832.8571428571429,3121.7838765008573,0,0,0,0,0,1,3.0,28.0,Medium,2.5,Minimal,20.0
3 BHK Flat,Pyramid Urban Homes 2,3.0,2.0,2,unavailable,East,under construction,Sector 86 Gurgaon,0.6,1071.4285714285716,5599.999999999999,0,0,0,0,1,0,2.0,-1.0,Unavailable,5.0,Minimal,19.0
2 BHK Flat,Pyramid Urban Homes 2,2.0,2.0,1,unavailable,East,new,Sector 86 Gurgaon,0.5,858.5714285714287,5823.6272878535765,0,0,0,0,0,1,2.0,-1.0,Unavailable,9.5,Minimal,19.0
3 BHK Flat,Godrej Nature Plus,3.0,2.0,3+,Pooja Room,North-East,under construction,Sector-33 Sohna,1.35,1804.0000000000002,7483.370288248336,0,0,0,0,0,1,7.0,-1.0,Unavailable,13.5,Basic,0.0
3 BHK Flat,Unitech South Park,3.0,3.0,2,unavailable,unavailable,under construction,Sector 70 Gurgaon,1.13,1771.0000000000002,6380.575945793335,0,0,0,0,0,1,1.0,-1.0,Unavailable,14.0,Basic,18.5
